Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
7210,Mature,Good,No,,32894.95,1138.7,21.7,195.6
13453,Mature,Good,No,,8738.33,200.2,8.4,136.9
37207,Middle aged,Good,No,,4177.14,76.4,4.4,164.9
21419,Middle aged,Good,No,,5993.37,117.5,5.5,149.5
5990,Mature,Good,Yes,"Dead, dying",1870.64,45.6,3.3,39.9
15182,Mature,Fair,No,,43618.28,1431,22.2,416.8
37239,Middle aged,Good,No,,1380.87,22.5,2,47.5
18544,Mature,Fair,No,,13962.98,187.5,5.5,109
5674,Middle aged,Fair,No,,6291.6,150.8,5.6,209.5
49650,Middle aged,Good,No,,460.29,2.7,0.7,3.5
57876,Juvenile,Good,No,,115.07,,,
1100330,Juvenile,Good,No,,191.79,,,
54356,Middle aged,Fair,No,,719.2,11.9,1.3,7.4
15355,Mature,Good,No,,14619.98,301,8.1,124.4
54603,Juvenile,Good,No,,524.3,11.5,1.6,12.6
15208,Mature,Fair,No,,22020.58,622.5,11.6,630
1071,Middle aged,Fair,No,,20291.14,241.7,5.2,107.4
1741,Mature,Fair,No,,32894.95,650.3,12.6,432.4
21815,Middle aged,Fair,No,,9330.6,166.7,5.4,216.5
54769,Juvenile,Good,No,,239.74,3.2,0.7,4
32449,Mature,Fair,No,,1057.23,33.1,2.6,29.6
54171,Middle aged,Good,No,,13126.91,433.3,12.7,570.1
3424,Mature,Fair,No,,1057.23,29.6,2.2,41.8
4585,Middle aged,Good,No,,10740.11,371.3,11.3,288.8
15029,Mature,Fair,No,,17476.66,500,12,167.2
48629,Middle aged,Good,No,,1035.66,19.9,2,12.6
42603,Middle aged,Good,No,,3505.04,60.1,3.9,44.5
4033,Mature,Good,No,,11486.04,226.5,6.9,324.4
2061,Mature,Good,No,,25403.72,886.8,18.8,358
17800,Middle aged,Fair,No,,7732.88,232.7,7.7,548.1
47828,Middle aged,Fair,No,,1409.64,24.9,1.9,81.7
41680,Middle aged,Fair,No,,4495.02,145.4,4.8,66.7
38849,Middle aged,Fair,No,,1941.85,16,1.6,25.2
18881,Middle aged,Good,No,,9515.07,330.6,10.5,250.7
20743,Mature,Good,No,,26287.26,870.4,18.6,357.1
19043,Juvenile,Good,No,,6742.54,64,2.5,155.2
14793,Middle aged,Fair,No,,4195.36,125,5,76.3
51569,Middle aged,Good,No,,2805.97,39,3,30
10764,Mature,Good,No,,6766.27,161.8,6.7,119.3
17316,Mature,Fair,No,,18879.1,406.9,8.6,86.7
